#timestamp tx ty tz qx qy qz qw 
1305031453.374112 0.000 0.000 0.000 0.000 0.000 0.000 1.000
1305031453.404816 0.013 -0.007 0.005 0.003 0.003 -0.004 1.000
1305031453.436941 0.021 -0.005 0.011 0.003 -0.002 -0.014 1.000
1305031453.473352 0.032 -0.009 0.023 0.006 -0.006 -0.021 1.000
1305031453.505218 0.028 -0.013 0.041 0.010 -0.014 -0.032 0.999
1305031453.538301 0.028 -0.012 0.054 0.014 -0.019 -0.042 0.999
1305031453.574074 0.028 -0.015 0.065 0.021 -0.023 -0.049 0.998
1305031453.605314 0.031 -0.020 0.080 0.028 -0.025 -0.054 0.998
1305031453.636951 0.023 -0.021 0.095 0.033 -0.028 -0.060 0.997
1305031453.673185 0.015 -0.025 0.110 0.040 -0.026 -0.060 0.997
1305031453.705487 0.016 -0.034 0.121 0.049 -0.020 -0.055 0.997
1305031453.736856 0.003 -0.040 0.137 0.053 -0.016 -0.053 0.997
1305031453.773786 -0.013 -0.044 0.153 0.057 -0.011 -0.044 0.997
1305031453.805041 -0.026 -0.057 0.166 0.063 -0.003 -0.036 0.997
1305031453.840352 -0.040 -0.070 0.175 0.068 0.003 -0.029 0.997
1305031453.869618 -0.055 -0.073 0.183 0.070 0.013 -0.023 0.997
1305031453.905519 -0.077 -0.084 0.189 0.072 0.025 -0.019 0.997
1305031453.940012 -0.095 -0.090 0.197 0.071 0.042 -0.014 0.997
1305031453.972592 -0.101 -0.103 0.206 0.069 0.060 -0.006 0.996
1305031454.003179 -0.121 -0.103 0.208 0.067 0.072 0.004 0.995
1305031454.040976 -0.121 -0.098 0.206 0.071 0.086 0.018 0.994
1305031454.07269 -0.143 -0.114 0.219 0.074 0.095 0.025 0.992
1305031454.104619 -0.153 -0.109 0.216 0.073 0.109 0.042 0.991
1305031454.14103 -0.164 -0.104 0.217 0.076 0.122 0.057 0.988
1305031454.172688 -0.213 -0.124 0.238 0.078 0.124 0.061 0.987
1305031454.204626 -0.287 -0.087 0.212 0.079 0.089 0.014 0.993
1305031454.240858 -0.304 -0.085 0.211 0.081 0.103 0.033 0.991
1305031454.273489 -0.331 -0.095 0.222 0.086 0.118 0.047 0.988
1305031454.304744 -0.346 -0.109 0.222 0.091 0.124 0.062 0.986
1305031454.340806 -0.367 -0.106 0.223 0.089 0.127 0.075 0.985
1305031454.372652 -0.368 -0.101 0.219 0.094 0.142 0.092 0.981
1305031454.401962 -0.385 -0.111 0.220 0.101 0.148 0.110 0.978
1305031454.437248 -0.389 -0.127 0.219 0.101 0.162 0.111 0.975
1305031454.470741 -0.401 -0.128 0.218 0.104 0.173 0.133 0.970
1305031454.503859 -0.408 -0.133 0.219 0.106 0.177 0.151 0.967
