Num1, Num2, muSDF, gradLen,  gradX,  gradY,   gradZ 
0921, 0737, 0.0024, 0.9977, -0.1388, -0.4317, -0.5746
0946, 0737, 0.0010, 1.0049, -0.1781, -0.4439, -0.6002
0949, 0756, 0.0003, 1.0092, -0.2011, -0.4341, -0.6006
0947, 0763, -0.0003, 1.0133, -0.1989, -0.4382, -0.5951
0948, 0760, -0.0000, 1.0078, -0.2043, -0.4384, -0.5916
0946, 0767, -0.0004, 1.0053, -0.2011, -0.4385, -0.5948
0949, 0759, 0.0001, 1.0110, -0.1987, -0.4396, -0.5958
0946, 0765, -0.0003, 1.0053, -0.1998, -0.4364, -0.5900
0947, 0756, -0.0000, 1.0092, -0.1995, -0.4392, -0.5939
0947, 0761, -0.0002, 1.0065, -0.1938, -0.4346, -0.5969
0949, 0763, -0.0000, 1.0069, -0.2030, -0.4431, -0.5911
0946, 0768, -0.0003, 1.0030, -0.2031, -0.4383, -0.5909
0947, 0756, -0.0002, 1.0045, -0.2083, -0.4457, -0.5942
0946, 0763, -0.0002, 1.0078, -0.2008, -0.4326, -0.5916
0948, 0763, -0.0002, 1.0096, -0.2013, -0.4467, -0.5936
0947, 0763, -0.0003, 1.0089, -0.2032, -0.4401, -0.5924
0964, 0889, 0.0055, 0.9655, -0.1890, -0.4640, -0.6667
0969, 0886, 0.0010, 0.9848, -0.2193, -0.4710, -0.6454
0978, 0899, 0.0008, 0.9838, -0.2150, -0.4827, -0.6529
0979, 0894, 0.0005, 0.9931, -0.2051, -0.4757, -0.6468
0980, 0904, 0.0003, 0.9952, -0.2039, -0.4803, -0.6449
0981, 0902, 0.0001, 1.0023, -0.2026, -0.4729, -0.6553
0981, 0901, 0.0000, 1.0041, -0.1915, -0.4838, -0.6520
0982, 0907, -0.0000, 0.9993, -0.1921, -0.4865, -0.6473
0984, 0902, -0.0001, 0.9992, -0.1905, -0.4857, -0.6480
0984, 0898, -0.0001, 0.9930, -0.1920, -0.4881, -0.6464
0980, 0891, -0.0001, 0.9965, -0.2012, -0.4944, -0.6475
0979, 0887, -0.0001, 0.9873, -0.1982, -0.4816, -0.6508
1024, 0959, 0.0104, 1.0558, -0.1831, -0.4826, -0.7618
1035, 0939, 0.0020, 1.0533, -0.1589, -0.4957, -0.7289
1037, 0952, 0.0007, 1.0677, -0.1662, -0.5000, -0.7428
1035, 0946, -0.0000, 1.0647, -0.1614, -0.5004, -0.7395
1034, 0952, -0.0001, 1.0709, -0.1521, -0.4955, -0.7428
1035, 0948, -0.0000, 1.0663, -0.1507, -0.5037, -0.7275
1035, 0948, 0.0001, 1.0660, -0.1408, -0.4965, -0.7317
1033, 0940, -0.0001, 1.0703, -0.1489, -0.4996, -0.7284
1033, 0939, -0.0003, 1.0700, -0.1455, -0.5065, -0.7251
1034, 0944, -0.0003, 1.0675, -0.1459, -0.5038, -0.7179
1048, 0974, 0.0146, 1.1163, -0.1438, -0.4914, -0.8522
1062, 0982, 0.0025, 1.0823, -0.1195, -0.5056, -0.7717
1066, 0980, 0.0005, 1.0814, -0.1122, -0.4998, -0.7719
1065, 0974, 0.0002, 1.0744, -0.1224, -0.4887, -0.7727
1066, 0968, 0.0000, 1.0772, -0.1200, -0.4849, -0.7726
1065, 0975, -0.0002, 1.0820, -0.1219, -0.4864, -0.7749
1066, 0971, -0.0003, 1.0774, -0.1185, -0.4845, -0.7817
1067, 0976, -0.0004, 1.0813, -0.1177, -0.4906, -0.7846
1066, 0974, -0.0003, 1.0760, -0.1170, -0.4879, -0.7851
1065, 0971, -0.0003, 1.0729, -0.1196, -0.4894, -0.7840
1064, 0972, -0.0004, 1.0790, -0.1167, -0.4893, -0.7927
1064, 0974, -0.0004, 1.0770, -0.1132, -0.4901, -0.7856
1064, 0970, -0.0002, 1.0759, -0.1223, -0.4965, -0.7808
