FID,    NpFeat,      NpMap,  M/F,   Angle,    Trans,    Tx,      Ty,    Tz,      qx,     qy,     qz,     qw  
000, 0000003549, 0000138965, 39.2, +0.00000, +0.00000, +0.000, +0.000, +0.000, +0.000, +0.000, +0.000, +1.000
001, 0000007018, 0000281200, 40.1, +0.62055, +0.01621, +0.013, -0.007, +0.005, +0.003, +0.003, -0.004, +1.000
002, 0000010613, 0000426925, 40.2, +1.65422, +0.02386, +0.021, -0.005, +0.011, +0.003, -0.002, -0.014, +1.000
003, 0000014221, 0000576745, 40.6, +2.64190, +0.04024, +0.032, -0.009, +0.023, +0.006, -0.006, -0.021, +1.000
004, 0000018014, 0000730375, 40.5, +4.16029, +0.05121, +0.028, -0.013, +0.041, +0.010, -0.014, -0.032, +0.999
005, 0000021883, 0000888105, 40.6, +5.51498, +0.06169, +0.028, -0.012, +0.054, +0.014, -0.019, -0.042, +0.999
006, 0000026002, 0001051200, 40.4, +6.64251, +0.07213, +0.028, -0.015, +0.065, +0.021, -0.023, -0.049, +0.998
007, 0000030302, 0001221315, 40.3, +7.57520, +0.08783, +0.031, -0.020, +0.080, +0.028, -0.025, -0.054, +0.998
008, 0000034747, 0001397610, 40.2, +8.49424, +0.10048, +0.023, -0.021, +0.095, +0.033, -0.028, -0.060, +0.997
009, 0000039333, 0001578180, 40.1, +8.81760, +0.11402, +0.015, -0.025, +0.110, +0.040, -0.026, -0.060, +0.997
010, 0000044144, 0001765685, 40.0, +8.70599, +0.12667, +0.016, -0.034, +0.121, +0.049, -0.020, -0.055, +0.997
011, 0000049075, 0001957945, 39.9, +8.77418, +0.14322, +0.003, -0.040, +0.137, +0.053, -0.016, -0.053, +0.997
012, 0000054135, 0002152850, 39.8, +8.32513, +0.15958, -0.013, -0.044, +0.153, +0.057, -0.011, -0.044, +0.997
013, 0000059383, 0002354275, 39.6, +8.32348, +0.17756, -0.026, -0.057, +0.166, +0.063, -0.003, -0.036, +0.997
014, 0000064665, 0002555020, 39.5, +8.52429, +0.19244, -0.040, -0.070, +0.175, +0.068, +0.003, -0.029, +0.997
015, 0000069935, 0002753305, 39.4, +8.60008, +0.20476, -0.055, -0.073, +0.183, +0.070, +0.013, -0.023, +0.997
016, 0000075052, 0002948945, 39.3, +9.00420, +0.22101, -0.077, -0.084, +0.189, +0.072, +0.025, -0.019, +0.997
017, 0000080292, 0003141820, 39.1, +9.54275, +0.23639, -0.095, -0.090, +0.197, +0.071, +0.042, -0.014, +0.997
018, 0000085656, 0003334960, 38.9, +10.56017, +0.25202, -0.101, -0.103, +0.206, +0.069, +0.060, -0.006, +0.996
019, 0000090936, 0003521940, 38.7, +11.36763, +0.26164, -0.121, -0.103, +0.208, +0.067, +0.072, +0.004, +0.995
020, 0000096222, 0003705550, 38.5, +12.97084, +0.25855, -0.121, -0.098, +0.206, +0.071, +0.086, +0.018, +0.994
021, 0000101496, 0003885415, 38.3, +14.15706, +0.28543, -0.143, -0.114, +0.219, +0.074, +0.095, +0.025, +0.992
022, 0000106696, 0004060200, 38.1, +15.80134, +0.28610, -0.153, -0.109, +0.216, +0.073, +0.109, +0.042, +0.991
023, 0000111847, 0004230630, 37.8, +17.85380, +0.29138, -0.164, -0.104, +0.217, +0.076, +0.122, +0.057, +0.988
024, 0000116933, 0004399320, 37.6, +18.21450, +0.34274, -0.213, -0.124, +0.238, +0.078, +0.124, +0.061, +0.987
025, 0000121961, 0004563200, 37.4, +13.72621, +0.36749, -0.287, -0.087, +0.212, +0.079, +0.089, +0.014, +0.993
026, 0000126832, 0004722880, 37.2, +15.53937, +0.37934, -0.304, -0.085, +0.211, +0.081, +0.103, +0.033, +0.991
027, 0000132057, 0004888115, 37.0, +17.59003, +0.40944, -0.331, -0.095, +0.222, +0.086, +0.118, +0.047, +0.988
028, 0000137348, 0005053850, 36.8, +19.03462, +0.42507, -0.346, -0.109, +0.222, +0.091, +0.124, +0.062, +0.986
029, 0000142498, 0005216485, 36.6, +19.87109, +0.44246, -0.367, -0.106, +0.223, +0.089, +0.127, +0.075, +0.985
030, 0000147956, 0005386800, 36.4, +22.27747, +0.44023, -0.368, -0.101, +0.219, +0.094, +0.142, +0.092, +0.981
031, 0000153659, 0005561625, 36.2, +24.32380, +0.45708, -0.385, -0.111, +0.220, +0.101, +0.148, +0.110, +0.978
032, 0000159580, 0005741090, 36.0, +25.51307, +0.46436, -0.389, -0.127, +0.219, +0.101, +0.162, +0.111, +0.975
033, 0000165691, 0005925610, 35.8, +27.97174, +0.47360, -0.401, -0.128, +0.218, +0.104, +0.173, +0.133, +0.970
034, 0000171716, 0006108825, 35.6, +29.61620, +0.48157, -0.408, -0.133, +0.219, +0.106, +0.177, +0.151, +0.967
035, 0000177784, 0006292115, 35.4, +30.77209, +0.51119, -0.437, -0.137, +0.228, +0.105, +0.177, +0.167, +0.964
036, 0000183562, 0006468810, 35.2, +32.20711, +0.52676, -0.447, -0.153, +0.234, +0.104, +0.181, +0.182, +0.961
037, 0000189108, 0006640420, 35.1, +34.42950, +0.50236, -0.433, -0.137, +0.215, +0.101, +0.190, +0.203, +0.955
038, 0000194582, 0006807220, 35.0, +36.82911, +0.51566, -0.445, -0.137, +0.222, +0.099, +0.201, +0.223, +0.949
039, 0000199952, 0006973410, 34.9, +38.22968, +0.53112, -0.455, -0.155, +0.226, +0.097, +0.210, +0.232, +0.945
040, 0000205111, 0007135895, 34.8, +39.28463, +0.53825, -0.464, -0.152, +0.227, +0.086, +0.221, +0.239, +0.942
041, 0000210231, 0007298375, 34.7, +40.95826, +0.55069, -0.472, -0.166, +0.230, +0.083, +0.236, +0.245, +0.937
042, 0000215143, 0007456470, 34.7, +41.66996, +0.52988, -0.453, -0.164, +0.220, +0.078, +0.247, +0.243, +0.935
043, 0000220099, 0007614505, 34.6, +42.48457, +0.52147, -0.439, -0.183, +0.214, +0.081, +0.254, +0.245, +0.932
044, 0000224954, 0007770380, 34.5, +41.75161, +0.52473, -0.438, -0.191, +0.216, +0.076, +0.255, +0.237, +0.934
045, 0000229664, 0007922130, 34.5, +40.59859, +0.51504, -0.429, -0.189, +0.212, +0.066, +0.256, +0.224, +0.938
046, 0000234130, 0008068025, 34.5, +39.63583, +0.54127, -0.446, -0.212, +0.222, +0.069, +0.251, +0.217, +0.941
047, 0000238321, 0008209895, 34.4, +38.26193, +0.53854, -0.435, -0.223, +0.225, +0.065, +0.243, +0.210, +0.945
048, 0000242404, 0008348955, 34.4, +36.56425, +0.54398, -0.427, -0.244, +0.231, +0.061, +0.236, +0.197, +0.950
