#timestamp tx ty tz qx qy qz qw 
1311867170.450076 0.000 0.000 0.000 0.000 0.000 0.000 1.000
1311867170.4835 -0.004 0.000 0.000 0.001 -0.001 0.003 1.000
1311867170.516818 -0.014 0.003 -0.001 0.001 -0.001 0.004 1.000
1311867170.551384 -0.027 0.001 -0.000 0.000 -0.002 0.001 1.000
1311867170.58099 -0.029 -0.003 0.004 -0.001 -0.002 -0.003 1.000
1311867170.617942 -0.039 0.000 0.006 -0.003 -0.002 -0.004 1.000
1311867170.649674 -0.038 0.002 0.007 -0.004 -0.002 -0.002 1.000
1311867170.680532 -0.046 0.002 0.008 -0.004 -0.002 -0.003 1.000
1311867170.717358 -0.037 0.000 0.009 -0.004 -0.003 -0.000 1.000
1311867170.749451 -0.036 0.005 0.008 -0.006 -0.003 -0.000 1.000
1311867170.780364 -0.051 0.008 0.010 -0.005 -0.003 -0.004 1.000
1311867170.816535 -0.021 0.014 0.013 -0.006 0.008 -0.002 1.000
1311867170.850616 -0.027 0.015 0.016 -0.005 0.007 -0.002 1.000
1311867170.882672 -0.023 0.012 0.013 -0.002 0.009 -0.004 1.000
1311867170.917264 -0.034 0.013 0.014 0.001 0.007 -0.002 1.000
1311867170.949643 -0.040 0.016 0.022 0.003 0.006 -0.001 1.000
1311867170.986197 -0.045 0.014 0.026 0.005 0.006 0.002 1.000
1311867171.019831 -0.053 0.021 0.034 0.006 0.005 0.003 1.000
1311867171.052592 -0.060 0.026 0.032 0.008 0.004 0.001 1.000
1311867171.084303 -0.056 0.025 0.035 0.009 0.005 0.002 1.000
1311867171.116865 -0.075 0.022 0.034 0.012 0.003 -0.001 1.000
1311867171.150265 -0.065 0.038 0.034 0.011 0.005 0.002 1.000
1311867171.188157 -0.044 0.039 0.043 0.013 0.011 0.001 1.000
1311867171.215808 -0.047 0.032 0.041 0.014 0.010 -0.000 1.000
1311867171.250755 -0.057 0.027 0.045 0.016 0.007 -0.002 1.000
1311867171.288603 -0.049 0.032 0.042 0.015 0.004 0.001 1.000
1311867171.320387 -0.023 0.023 0.048 0.015 0.004 0.008 1.000
1311867171.348416 -0.023 0.019 0.052 0.014 0.002 0.013 1.000
1311867171.386411 -0.018 0.030 0.047 0.011 0.001 0.014 1.000
1311867171.418257 -0.033 0.024 0.047 0.009 -0.004 0.016 1.000
1311867171.450724 -0.039 0.030 0.053 0.005 -0.005 0.014 1.000
1311867171.485965 -0.025 0.022 0.056 0.008 -0.003 0.013 1.000
1311867171.516537 -0.031 0.021 0.057 0.008 -0.004 0.014 1.000
1311867171.552054 -0.023 0.027 0.059 0.008 -0.002 0.015 1.000
1311867171.587078 -0.018 0.015 0.060 0.011 -0.000 0.018 1.000
1311867171.619828 -0.012 0.017 0.057 0.010 -0.000 0.019 1.000
1311867171.651108 -0.020 0.025 0.061 0.009 -0.002 0.021 1.000
1311867171.685447 -0.023 0.026 0.063 0.009 -0.004 0.023 1.000
1311867171.716495 -0.033 0.027 0.062 0.009 -0.003 0.023 1.000
1311867171.75203 -0.042 0.027 0.059 0.010 -0.002 0.021 1.000
1311867171.787543 -0.036 0.026 0.058 0.010 0.001 0.017 1.000
1311867171.816493 -0.043 0.024 0.065 0.012 0.001 0.017 1.000
1311867171.852528 -0.035 0.018 0.069 0.013 0.003 0.018 1.000
1311867171.887719 -0.045 0.024 0.069 0.014 0.002 0.017 1.000
1311867171.916475 -0.056 0.028 0.072 0.013 0.003 0.015 1.000
1311867171.951952 -0.067 0.018 0.075 0.015 0.003 0.016 1.000
1311867171.988074 -0.068 0.016 0.072 0.014 0.007 0.012 1.000
1311867172.016436 -0.089 0.020 0.072 0.012 0.002 0.017 1.000
1311867172.049438 -0.101 0.013 0.076 0.010 0.001 0.013 1.000
1311867172.088132 -0.106 0.011 0.076 0.008 0.001 0.014 1.000
1311867172.117248 -0.110 0.011 0.078 0.008 0.002 0.012 1.000
1311867172.152282 -0.121 0.014 0.072 0.006 0.003 0.009 1.000
1311867172.188469 -0.118 0.007 0.070 0.007 0.006 0.004 1.000
1311867172.219929 -0.121 0.007 0.068 0.006 0.006 0.002 1.000
1311867172.252969 -0.114 0.018 0.075 0.001 0.009 -0.001 1.000
1311867172.286931 -0.109 0.010 0.072 0.001 0.009 0.002 1.000
1311867172.318507 -0.106 0.016 0.067 0.000 0.010 0.003 1.000
1311867172.355461 -0.110 0.015 0.064 -0.001 0.010 0.002 1.000
1311867172.387297 -0.143 0.015 0.064 -0.003 0.004 0.006 1.000
