Num1, Num2, muSDF, gradLen,  gradX,  gradY,   gradZ 
1567, 0996, -0.0003, 1.0733, -0.0239, -0.2937, -0.3381
1577, 0959, -0.0022, 1.0814, -0.0305, -0.2917, -0.3677
1580, 0954, -0.0031, 1.0896, -0.0430, -0.2556, -0.3552
1571, 0921, -0.0035, 1.0798, -0.0475, -0.2634, -0.3613
1565, 0926, -0.0037, 1.0928, -0.0463, -0.2832, -0.3407
1563, 0921, -0.0037, 1.0869, -0.0438, -0.2821, -0.3269
1565, 0926, -0.0037, 1.0910, -0.0554, -0.2862, -0.3264
1566, 0925, -0.0041, 1.0862, -0.0521, -0.2822, -0.3295
1793, 1318, -0.0019, 1.0421, -0.0052, -0.4157, -0.4549
1798, 1333, -0.0018, 1.0513, 0.0013, -0.4213, -0.4414
1797, 1325, -0.0015, 1.0415, -0.0042, -0.4346, -0.4191
1794, 1316, -0.0015, 1.0455, -0.0093, -0.4380, -0.4001
1793, 1328, -0.0013, 1.0424, -0.0190, -0.4251, -0.4055
1796, 1326, -0.0010, 1.0489, -0.0123, -0.4297, -0.4203
1814, 1351, -0.0021, 0.9478, 0.0108, -0.3530, -0.3048
1819, 1359, -0.0016, 0.9438, 0.0131, -0.3375, -0.3136
1822, 1338, -0.0012, 0.9571, 0.0139, -0.3355, -0.3228
1826, 1330, -0.0006, 0.9445, 0.0141, -0.3324, -0.3221
1825, 1337, -0.0006, 0.9466, 0.0078, -0.3341, -0.3326
1822, 1347, -0.0005, 0.9498, 0.0174, -0.3309, -0.3403
1826, 1344, -0.0006, 0.9506, 0.0315, -0.3257, -0.3392
1824, 1336, -0.0006, 0.9504, 0.0337, -0.3255, -0.3394
1822, 1339, -0.0006, 0.9394, 0.0365, -0.3285, -0.3367
1744, 1386, -0.0020, 0.8364, 0.0310, -0.2617, -0.2415
1757, 1431, -0.0013, 0.8259, 0.0216, -0.2617, -0.2656
1759, 1427, -0.0008, 0.8194, 0.0313, -0.2693, -0.2805
1764, 1437, -0.0005, 0.8137, 0.0216, -0.2862, -0.3047
1762, 1422, -0.0002, 0.8156, 0.0250, -0.2840, -0.2995
1764, 1426, 0.0000, 0.8184, 0.0245, -0.2972, -0.3078
1764, 1417, 0.0003, 0.8088, 0.0301, -0.3031, -0.3036
1765, 1413, 0.0004, 0.8067, 0.0238, -0.2947, -0.3022
1873, 1217, -0.0018, 0.7533, 0.0370, -0.2002, -0.2206
1888, 1212, -0.0015, 0.7513, 0.0277, -0.1923, -0.2203
1893, 1218, -0.0015, 0.7418, 0.0214, -0.2013, -0.2347
1899, 1208, -0.0013, 0.7380, 0.0156, -0.2103, -0.2527
1906, 1186, -0.0011, 0.7414, 0.0182, -0.2030, -0.2524
1907, 1185, -0.0009, 0.7330, 0.0104, -0.1904, -0.2610
1907, 1176, -0.0009, 0.7268, 0.0194, -0.2046, -0.2624
1910, 1166, -0.0009, 0.7275, 0.0175, -0.1969, -0.2650
1863, 0619, -0.0011, 0.8579, 0.0003, -0.1297, -0.0390
1870, 0624, -0.0011, 0.8544, 0.0116, -0.1165, -0.0518
1871, 0601, -0.0008, 0.8702, 0.0036, -0.1301, -0.0484
1873, 0613, -0.0013, 0.8714, -0.0152, -0.1197, -0.0422
1874, 0600, -0.0014, 0.8469, 0.0136, -0.1167, -0.0461
1876, 0599, -0.0012, 0.8584, -0.0057, -0.1324, -0.0538
1883, 0585, -0.0008, 0.8707, -0.0185, -0.1291, -0.0359
1876, 0591, -0.0013, 0.8611, -0.0093, -0.1417, -0.0212
