Samples,    CloseSurfa, VxDwSamlin, KnnFilter,  NewPoints,  AllPoints 
0000557120, 0000169533, 0000024835, 0000023879, 0000023879, 0000023879
0000564395, 0000171651, 0000024175, 0000023239, 0000023238, 0000047117
0000567915, 0000172944, 0000024356, 0000023411, 0000023411, 0000070528
0000577155, 0000175669, 0000024911, 0000024098, 0000024098, 0000094626
0000575780, 0000175392, 0000024938, 0000023939, 0000023939, 0000118565
0000580210, 0000176856, 0000025136, 0000024103, 0000024102, 0000142667
0000581795, 0000177312, 0000025477, 0000024353, 0000024351, 0000167018
0000585730, 0000178245, 0000025905, 0000024805, 0000024803, 0000191821
0000588205, 0000178971, 0000026190, 0000025285, 0000025285, 0000217106
0000585625, 0000178334, 0000026230, 0000025108, 0000025108, 0000242214
0000591480, 0000180022, 0000026154, 0000025268, 0000025268, 0000267482
0000599950, 0000182856, 0000027013, 0000025980, 0000025980, 0000293462
0000600710, 0000182775, 0000027047, 0000026111, 0000026109, 0000319571
0000596865, 0000181651, 0000027081, 0000025865, 0000025865, 0000345436
0000602565, 0000183163, 0000027262, 0000026375, 0000026375, 0000371811
0000607315, 0000184853, 0000027285, 0000026453, 0000026453, 0000398264
0000616900, 0000187552, 0000028094, 0000027276, 0000027276, 0000425540
0000619130, 0000188014, 0000028543, 0000027575, 0000027575, 0000453115
0000613210, 0000186524, 0000028100, 0000026934, 0000026931, 0000480046
0000615895, 0000187247, 0000028522, 0000027528, 0000027528, 0000507574
0000630095, 0000191719, 0000029396, 0000028495, 0000028495, 0000536069
0000637415, 0000193869, 0000029537, 0000028939, 0000028939, 0000565008
0000638545, 0000194155, 0000030699, 0000029702, 0000029702, 0000594710
0000639340, 0000194892, 0000030155, 0000029240, 0000029240, 0000623950
0000646425, 0000196971, 0000031278, 0000030384, 0000030384, 0000654334
0000649505, 0000197651, 0000031385, 0000030357, 0000030357, 0000684691
0000647770, 0000197734, 0000031401, 0000030333, 0000030333, 0000715024
0000646285, 0000196542, 0000031146, 0000029918, 0000029916, 0000744940
0000649265, 0000197707, 0000031291, 0000030189, 0000030188, 0000775128
0000652365, 0000198406, 0000031715, 0000030606, 0000030605, 0000805733
0000651025, 0000198618, 0000031362, 0000030368, 0000030368, 0000836101
0000646935, 0000196686, 0000031647, 0000030526, 0000030526, 0000866627
0000645790, 0000196704, 0000031383, 0000030180, 0000030175, 0000896802
0000646500, 0000196937, 0000031223, 0000030176, 0000030172, 0000926974
0000654835, 0000199226, 0000032077, 0000031092, 0000031092, 0000958066
0000648855, 0000197934, 0000031497, 0000030472, 0000030469, 0000988535
0000650530, 0000198217, 0000031274, 0000030499, 0000030497, 0001019032
0000666255, 0000202668, 0000032376, 0000031646, 0000031646, 0001050678
0000663470, 0000201808, 0000032493, 0000031733, 0000031733, 0001082411
0000678265, 0000206363, 0000034021, 0000033179, 0000033179, 0001115590
0000665325, 0000202477, 0000032633, 0000031713, 0000031709, 0001147299
0000681160, 0000207254, 0000033998, 0000033170, 0000033167, 0001180466
0000686000, 0000209034, 0000034182, 0000033400, 0000033396, 0001213862
0000690220, 0000210182, 0000034184, 0000033528, 0000033528, 0001247390
0000689920, 0000210150, 0000034297, 0000033477, 0000033472, 0001280862
0000695040, 0000211458, 0000035041, 0000034318, 0000034318, 0001315180
0000693650, 0000210975, 0000034728, 0000033946, 0000033941, 0001349121
0000688350, 0000209954, 0000034740, 0000033838, 0000033833, 0001382954
0000683500, 0000208209, 0000034218, 0000033282, 0000033278, 0001416232
0000689650, 0000209979, 0000034410, 0000033603, 0000033597, 0001449829
0000688595, 0000209532, 0000034673, 0000033665, 0000033665, 0001483494
0000684435, 0000208455, 0000034544, 0000033451, 0000033451, 0001516945
0000682620, 0000208182, 0000034109, 0000033103, 0000033102, 0001550047
0000681840, 0000207125, 0000034434, 0000033482, 0000033476, 0001583523
0000680440, 0000206780, 0000034239, 0000033227, 0000033224, 0001616747
0000682735, 0000207588, 0000034203, 0000033162, 0000033161, 0001649908
0000681495, 0000207721, 0000034405, 0000033451, 0000033449, 0001683357
0000680255, 0000207453, 0000034048, 0000033025, 0000033023, 0001716380
0000680725, 0000206894, 0000034073, 0000032967, 0000032967, 0001749347
0000684135, 0000208253, 0000034779, 0000033770, 0000033769, 0001783116
0000686850, 0000209743, 0000034904, 0000033807, 0000033807, 0001816923
0000690365, 0000210049, 0000035031, 0000034013, 0000034007, 0001850930
0000690850, 0000210352, 0000035714, 0000034550, 0000034548, 0001885478
0000688420, 0000209844, 0000035199, 0000034253, 0000034245, 0001919723
0000687930, 0000209553, 0000035117, 0000034129, 0000034125, 0001953848
0000687665, 0000209421, 0000034866, 0000033860, 0000033855, 0001987703
0000688330, 0000209769, 0000034965, 0000033983, 0000033983, 0002021686
0000685365, 0000208514, 0000034618, 0000033658, 0000033658, 0002055344
0000689465, 0000210415, 0000034994, 0000034124, 0000034123, 0002089467
