FID,    NpFeat,      NpMap,  M/F,   Angle,    Trans,    Tx,      Ty,    Tz,      qx,     qy,     qz,     qw  
000, 0000023879, 0000557120, 23.3, +0.00000, +0.00000, +0.000, +0.000, +0.000, +0.000, +0.000, +0.000, +1.000
001, 0000047117, 0001121515, 23.8, +0.34150, +0.01356, +0.001, +0.002, -0.013, +0.000, -0.003, -0.001, +1.000
002, 0000070528, 0001689430, 24.0, +1.36458, +0.03588, +0.007, -0.034, -0.008, +0.009, -0.007, -0.004, +1.000
003, 0000094626, 0002266585, 24.0, +1.98662, +0.05269, +0.016, -0.048, -0.012, +0.011, -0.012, -0.005, +1.000
004, 0000118565, 0002842365, 24.0, +2.63982, +0.06231, +0.026, -0.055, -0.014, +0.013, -0.016, -0.009, +1.000
005, 0000142667, 0003422575, 24.0, +3.19586, +0.07795, +0.031, -0.071, -0.009, +0.016, -0.018, -0.013, +1.000
006, 0000167018, 0004004370, 24.0, +3.90625, +0.10677, +0.024, -0.103, -0.013, +0.022, -0.021, -0.015, +0.999
007, 0000191821, 0004590100, 23.9, +4.40318, +0.12176, +0.046, -0.111, -0.022, +0.025, -0.018, -0.023, +0.999
008, 0000217106, 0005178305, 23.9, +4.53743, +0.12458, +0.039, -0.116, -0.025, +0.026, -0.022, -0.020, +0.999
009, 0000242214, 0005763930, 23.8, +4.69569, +0.13267, +0.050, -0.119, -0.029, +0.025, -0.024, -0.022, +0.999
010, 0000267482, 0006355410, 23.8, +4.70370, +0.10972, +0.038, -0.096, -0.038, +0.023, -0.029, -0.018, +0.999
011, 0000293462, 0006955360, 23.7, +5.26165, +0.13359, +0.062, -0.110, -0.042, +0.025, -0.032, -0.022, +0.999
012, 0000319571, 0007556070, 23.6, +6.15453, +0.16027, +0.068, -0.140, -0.038, +0.030, -0.034, -0.029, +0.999
013, 0000345436, 0008152935, 23.6, +5.70743, +0.14979, +0.080, -0.120, -0.039, +0.028, -0.034, -0.024, +0.999
